TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL2219272,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.806+/-0.012,0.791+/-0.016,0.799+/-0.052,0.82+/-0.106,
CHEMBL2219274,0.49809803921568624,0.48868599468282325,0.0,0.004472135954999575,0.828+/-0.024,0.843+/-0.008,0.852+/-0.037,0.866+/-0.046,
CHEMBL2219283,0.45946078431372545,0.4606816399624484,0.0,0.0,0.716+/-0.039,0.73+/-0.045,0.715+/-0.029,0.68+/-0.113,
CHEMBL2219286,0.49809803921568624,0.48868599468282325,0.0,0.004472135954999575,0.877+/-0.019,0.881+/-0.024,0.912+/-0.031,0.95+/-0.051,
CHEMBL2219297,0.4876470588235294,0.47776355130602166,0.0,0.0,0.803+/-0.028,0.818+/-0.034,0.817+/-0.058,0.847+/-0.11,
CHEMBL2219305,0.4876470588235294,0.48422477299442246,0.0,0.0,0.694+/-0.008,0.691+/-0.046,0.722+/-0.038,0.787+/-0.075,
CHEMBL2219308,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.836+/-0.014,0.814+/-0.032,0.826+/-0.056,0.84+/-0.118,
CHEMBL2219334,0.4876470588235294,0.48422477299442246,0.0,0.0,0.626+/-0.016,0.634+/-0.024,0.639+/-0.045,0.653+/-0.124,
CHEMBL2219335,0.4876470588235294,0.47776355130602166,0.0,0.0,0.658+/-0.014,0.665+/-0.023,0.665+/-0.031,0.703+/-0.091,
CHEMBL2219340,0.49809803921568624,0.48868599468282325,0.0,0.004472135954999575,0.696+/-0.016,0.701+/-0.051,0.725+/-0.029,0.788+/-0.073,
CHEMBL2219352,0.4876470588235294,0.48422477299442246,0.0,0.0,0.599+/-0.035,0.589+/-0.044,0.585+/-0.079,0.653+/-0.099,
CHEMBL2219355,0.49809803921568624,0.48868599468282325,0.0,0.004472135954999575,0.728+/-0.02,0.724+/-0.014,0.729+/-0.027,0.714+/-0.131,
CHEMBL2219358,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.713+/-0.028,0.712+/-0.029,0.729+/-0.024,0.731+/-0.062,
CHEMBL2219359,0.4876470588235294,0.47776355130602166,0.0,0.0,0.575+/-0.028,0.585+/-0.031,0.542+/-0.033,0.61+/-0.061,
CHEMBL2219363,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.616+/-0.025,0.609+/-0.028,0.604+/-0.058,0.616+/-0.083,
CHEMBL2219366,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.744+/-0.018,0.753+/-0.026,0.771+/-0.008,0.711+/-0.057,
CHEMBL2219375,0.49809803921568624,0.48868599468282325,0.0,0.004472135954999575,0.553+/-0.018,0.577+/-0.046,0.557+/-0.027,0.467+/-0.017,
CHEMBL2219389,0.5044705882352941,0.49245904432821336,0.0,0.0066643594623523005,0.8+/-0.023,0.786+/-0.011,0.81+/-0.023,0.789+/-0.122,
CHEMBL2219399,0.45946078431372545,0.4606816399624484,0.0,0.0,0.663+/-0.064,0.667+/-0.032,0.694+/-0.041,0.766+/-0.089,
CHEMBL2219404,0.4876470588235294,0.47776355130602166,0.0,0.0,0.662+/-0.021,0.668+/-0.038,0.658+/-0.049,0.752+/-0.096,
CHEMBL2219407,0.4876470588235294,0.47776355130602166,0.0,0.0,0.661+/-0.028,0.659+/-0.042,0.655+/-0.055,0.652+/-0.1,
CHEMBL2219408,0.48029411764705876,0.47399050166063156,0.0,0.0,0.486+/-0.016,0.484+/-0.023,0.527+/-0.02,0.571+/-0.102,
CHEMBL2354305,0.5059607843137255,0.5,0.0,0.008885812616469735,0.572+/-0.013,0.565+/-0.027,0.597+/-0.037,0.571+/-0.057,
CHEMBL3214944,0.5035764705882353,0.4978231602323461,0.0,0.005331487569881841,0.506+/-0.01,0.525+/-0.022,0.511+/-0.007,0.554+/-0.031,0.545+/-0.023
CHEMBL3431930,0.5059607843137255,0.5,0.0,0.008885812616469735,0.709+/-0.062,0.692+/-0.104,0.722+/-0.122,0.835+/-0.023,0.827+/-0.02
CHEMBL3431932,0.5035764705882353,0.49849218413019186,0.0,0.005331487569881841,0.642+/-0.117,0.642+/-0.116,0.668+/-0.101,0.718+/-0.095,0.758+/-0.027
CHEMBL3431933,0.5059607843137255,0.5,0.0,0.008885812616469735,0.539+/-0.018,0.557+/-0.028,0.548+/-0.029,0.58+/-0.031,0.544+/-0.015
CHEMBL3705334,0.5044705882352941,0.4879740100910239,0.0,0.0066643594623523005,0.574+/-0.031,0.606+/-0.034,0.609+/-0.066,0.579+/-0.098,
CHEMBL3705469,0.5044705882352941,0.4920812032586027,0.0,0.0066643594623523005,0.506+/-0.02,0.525+/-0.024,0.536+/-0.057,0.504+/-0.102,
CHEMBL3705476,0.5035764705882353,0.49817823858836585,0.0,0.005331487569881841,0.491+/-0.013,0.491+/-0.019,0.507+/-0.025,0.512+/-0.033,0.546+/-0.023
CHEMBL3706128,0.3985294117647059,0.3961389455667898,0.0,0.009316949906249126,0.598+/-0.062,0.581+/-0.06,0.615+/-0.074,0.557+/-0.108,
CHEMBL3706356,0.5035764705882353,0.4955104028757522,0.0,0.005331487569881841,0.697+/-0.048,0.713+/-0.024,0.71+/-0.021,0.723+/-0.031,0.702+/-0.128
CHEMBL3707557,0.5059607843137255,0.5,0.0,0.008885812616469735,0.897+/-0.012,0.899+/-0.021,0.906+/-0.032,0.947+/-0.039,
CHEMBL3707738,0.5020196078431373,0.4928351601329778,0.0,0.0066643594623523005,0.67+/-0.036,0.71+/-0.04,0.745+/-0.021,0.773+/-0.11,
CHEMBL3707783,0.5059607843137255,0.5,0.0,0.008885812616469735,0.631+/-0.102,0.688+/-0.099,0.619+/-0.039,0.705+/-0.068,
CHEMBL3887295,0.5044705882352941,0.4969951853086967,0.0,0.0066643594623523005,0.519+/-0.037,0.569+/-0.065,0.608+/-0.04,0.673+/-0.032,
CHEMBL3887333,0.5059607843137255,0.5,0.0,0.008885812616469735,0.746+/-0.086,0.694+/-0.1,0.755+/-0.111,0.678+/-0.118,0.864+/-0.145
CHEMBL3887334,0.5059607843137255,0.5,0.0,0.008885812616469735,0.588+/-0.032,0.624+/-0.053,0.589+/-0.014,0.602+/-0.034,
CHEMBL3887759,0.5035764705882353,0.4984288811441007,0.0,0.005331487569881841,0.502+/-0.012,0.502+/-0.007,0.528+/-0.045,0.491+/-0.014,0.5+/-0.025
CHEMBL3888181,0.5044705882352941,0.4965357092688114,0.0,0.0066643594623523005,0.513+/-0.017,0.516+/-0.021,0.557+/-0.069,0.522+/-0.067,
CHEMBL3888461,0.5044705882352941,0.49439273006475243,0.0,0.0066643594623523005,0.619+/-0.018,0.615+/-0.018,0.601+/-0.051,0.674+/-0.102,
CHEMBL4005586,0.5020196078431373,0.4964063107335221,0.0,0.0066643594623523005,0.497+/-0.018,0.495+/-0.04,0.517+/-0.049,0.5+/-0.035,
CHEMBL4133035,0.5059607843137255,0.5,0.0,0.008885812616469735,0.552+/-0.056,0.583+/-0.082,0.613+/-0.053,0.577+/-0.083,
CHEMBL641707,0.3226470588235294,0.3153262353262353,0.0,0.0,0.384+/-0.09,0.465+/-0.087,0.49+/-0.18,0.721+/-0.112,
CHEMBL657032,0.5044705882352941,0.4920812032586027,0.0,0.0066643594623523005,0.86+/-0.055,0.879+/-0.05,0.883+/-0.07,0.927+/-0.027,
CHEMBL663407,0.5059607843137255,0.5,0.0,0.008885812616469735,0.544+/-0.053,0.576+/-0.074,0.544+/-0.063,0.716+/-0.075,
CHEMBL819742,0.5059607843137255,0.5,0.0,0.008885812616469735,0.675+/-0.124,0.653+/-0.142,0.648+/-0.142,0.588+/-0.035,
CHEMBL915809,0.4570098039215686,0.46851511911171495,0.0,0.0,0.719+/-0.022,0.739+/-0.027,0.713+/-0.042,0.816+/-0.074,
CHEMBL924949,0.5020196078431373,0.4925380175380175,0.0,0.0066643594623523005,0.656+/-0.118,0.766+/-0.042,0.775+/-0.041,0.877+/-0.114,
